29,Kinshasa,0,8.75,NaN
5,Mexico City,8.77,19.46,121.89281642
28,Guangzhou,0,8.88,NaN
20,Istanbul,0,10.52,NaN
4,Mumbai,5.81,20.04,244.922547332
21,Paris,8.35,10.49,25.628742515
7,Shanghai,6.04,16.58,174.503311258
14,Rio de Janeiro,6.64,11.95,79.9698795181
36,St. Petersburg,3.98,0,-100.0
15,Manila,3.53,11.63,229.461756374
32,Hong Kong,3.46,0,-100.0
8,Kolkata,6.93,15.55,124.386724387
3,Sao Paulo,7.62,20.26,165.879265092
13,Beijing,4.43,12.39,179.683972912
34,Chennai,0,0,NaN
22,Seoul,5.31,9.77,83.9924670433
19,Moscow,7.11,10.55,48.382559775
25,Chicago,7.11,9.2,29.3952180028
11,Buenos Aires,8.1,13.07,61.3580246914
id,label,yr1970,yr2010,PopChange
35,Bangkok,0,0,NaN
31,Tianjin,3.32,0,-100.0
18,Lagos,0,10.58,NaN
12,Los Angeles,8.38,12.76,52.2673031026
33,Tehran,3.29,0,-100.0
26,Shenzhen,0,9.01,NaN
10,Karachi,0,13.12,NaN
23,Chongqing,0,9.4,NaN
9,Dhaka,0,14.65,NaN
1,Tokyo,23.3,36.67,57.3819742489
24,Jakarta,3.92,9.21,134.948979592
39,Detroit,3.97,0,-100.0
38,Philadelphia,4.4,0,-100.0
16,Osaka-Kobe,9.41,11.34,20.5100956429
2,New Delhi,3.53,22.16,527.76203966
17,Cairo,5.58,11,97.1326164875
6,New York,16.19,19.43,20.0123533045
30,London,7.51,8.63,14.913448735
37,Madrid,3.52,0,-100.0
27,Lima,0,8.94,NaN
